addedAt,albumArtistsNames,albumName,albumPopularity,albumRecordLabel,albumReleaseDate,artistFollowers,artistName,artistPopularity,secondaryArtistsNames,trackDuration,trackFeatureAcousticness,trackFeatureDanceability,trackFeatureEnergy,trackFeatureInstrumentalness,trackFeatureKey,trackFeatureLiveness,trackFeatureLoudness,trackFeatureMode,trackFeatureSpeechiness,trackFeatureTempo,trackFeatureTimeSignature,trackFeatureValence,trackName,trackPopularity,trackIsrc,trackNumber,trackUrl,isLocal,isLikedByUser,artistUrl,artistGenres,albumUrl,albumUpc,albumType,addedBy
2023-05-16T16:50:06Z,Blue Hawaii,Tenderness,32,Arbutus Records,2017-10-06,62910,Blue Hawaii,39,,03:38,0.0898,0.822,0.686,0.0127,11,0.121,-6.73,1,0.0392,121.014,4,0.58,Versus Game,25,CA21O1700021,4,https://open.spotify.com/track/4V2V2SIV7lvpYsjBGgk16j,stream,true,https://open.spotify.com/artist/41y1iPh0WqB7tyGdzyeinZ,"Chillwave, Quebec Indie",https://open.spotify.com/album/5FR3CRTMm4CuPKyLoaEfyE,656605360669,album,Oskar
2023-05-16T15:24:13Z,Blue Hawaii,Tenderness,32,Arbutus Records,2017-10-06,62910,Blue Hawaii,39,,04:30,0.534,0.844,0.706,6.37E-4,8,0.19,-6.278,1,0.131,122.946,4,0.774,No One Like You,36,CA21O1700019,2,https://open.spotify.com/track/2UfapS5nkoV9pjxKssIwgp,stream,true,https://open.spotify.com/artist/41y1iPh0WqB7tyGdzyeinZ,"Chillwave, Quebec Indie",https://open.spotify.com/album/5FR3CRTMm4CuPKyLoaEfyE,656605360669,album,Oskar
2023-05-16T15:14:55Z,nand & Blue Hawaii & DJ Kirby,"Luft (Blue Hawaii, DJ Kirby Remix)",27,Columbia/IRRSINN Aufnahmen,2023-04-14,33419,nand,46,Blue Hawaii & DJ Kirby,03:26,4.9E-4,0.753,0.892,0.898,5,0.199,-8.156,0,0.0481,145.013,4,0.931,"Luft - Blue Hawaii, DJ Kirby Remix",34,DEE862300581,1,https://open.spotify.com/track/4aqxIaQLsEkeqqKQC3jsAg,stream,true,https://open.spotify.com/artist/5wqj5DHpNUW5TySzEtzdFg,Neue Neue Deutsche Welle,https://open.spotify.com/album/7HBdKsAK6pjrkGi10GC3cz,196871037242,single,Oskar
2023-05-15T11:51:19Z,Alice Phoebe Lou,Glow,62,Alice Phoebe Lou,2021-03-19,333598,Alice Phoebe Lou,56,,02:45,0.0427,0.58,0.573,0.0,6,0.0811,-5.345,1,0.0314,86.699,4,0.502,Glow,57,FR10S2142948,2,https://open.spotify.com/track/7wR04K3JSaRJPO3D0f5fnx,stream,true,https://open.spotify.com/artist/03uMw43UVu9MsQCcHVSGjX,South African Alternative,https://open.spotify.com/album/17bMGqdO2UxbHHgiE9mX6X,3616552411255,album,Oskar
2023-05-13T19:12:50Z,Sofi Tukker & Novak & YAX.X,Emergency,11,Ultra Records,2020-09-18,749754,Sofi Tukker,66,Novak & YAX.X,03:12,0.0235,0.713,0.84,0.305,2,0.115,-5.419,1,0.0372,124.986,4,0.867,Emergency,17,QM37X2000024,1,https://open.spotify.com/track/0iQd47VJs14l8EA00PlI71,stream,true,https://open.spotify.com/artist/586uxXMyD5ObPuzjtrzO1Q,Edm,https://open.spotify.com/album/4xeOgbxFCERSTBCaxuKSqY,0617465021541,single,Oskar
2023-05-13T16:25:00Z,Telenova,Tranquilize,35,Pointer Recordings,2021-05-06,14822,Telenova,35,,03:25,0.14,0.6,0.485,1.86E-5,2,0.085,-6.572,1,0.0585,205.991,4,0.842,Tranquilize,42,AUDJ02102327,1,https://open.spotify.com/track/6laerDzZikFNgusWkW6Fj8,stream,true,https://open.spotify.com/artist/5UlJRJmlRLhQJX8lJuerVq,Australian Electropop,https://open.spotify.com/album/2jjF0QgEvqhwSA1jGm1lhU,9332727115240,single,Oskar
2023-05-13T15:53:21Z,Peggy Gou,Moment EP,10,Gudu Records,2019-04-19,866528,Peggy Gou,69,,06:41,0.0617,0.786,0.756,0.649,11,0.0883,-10.274,0,0.0559,125.997,4,0.197,Han Pan - Original Mix,15,GBJX31975002,2,https://open.spotify.com/track/6z7Y23tSMqnHVDU51I3VjT,stream,true,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,"Electra, Float House",https://open.spotify.com/album/5DVxYboDLgL4zR9aus1buM,5060670882394,single,Oskar
2023-05-13T15:35:55Z,SSIO,MESSIOS,55,Urban,2019-12-06,584404,SSIO,55,,03:02,0.00976,0.741,0.778,0.0,1,0.308,-4.42,1,0.0636,133.982,4,0.277,Testo E,51,DETM41610552,2,https://open.spotify.com/track/5SPUKGqm0i2kJ8AZmkbGt8,stream,true,https://open.spotify.com/artist/3IrUyDPQlQFcB5lMWhPml2,"Afghan Rap, German Hip Hop, Hamburg Hip Hop",https://open.spotify.com/album/1TGkYIeewV6t9SyM8bOD2r,04019593425189,album,Oskar
2023-05-12T17:02:59Z,D'Angelo,Brown Sugar,64,Virgin Records,1995-07-03,1182874,D'Angelo,60,,06:24,0.381,0.407,0.525,4.52E-4,11,0.0816,-12.725,0,0.166,74.34,4,0.329,Cruisin',58,USEM39500203,7,https://open.spotify.com/track/2voXNGgRrosxCJA6foTVau,stream,true,https://open.spotify.com/artist/336vr2M3Va0FjyvB55lJEd,"Indie Soul, Neo Soul, Soul",https://open.spotify.com/album/4HTVABUq8amDUxBv3zJbX4,00602557368970,album,Oskar
2023-05-12T12:57:29Z,Phairo,9,15,"Phairo, distributed by LG105",2022-09-09,4033,Phairo,22,,05:51,0.57,0.705,0.522,0.944,9,0.357,-12.224,0,0.0859,135.014,4,0.187,Skyward,8,GB2DY2200241,1,https://open.spotify.com/track/3CH6mo4jJy1VDVqO4fZcgJ,stream,true,https://open.spotify.com/artist/0ddHqZkNzQv7cmCGN6NwXY,,https://open.spotify.com/album/2quvLdJ1m4oQu8hn5Uqkkv,00602445747993,album,Oskar
2023-05-11T12:19:35Z,KUU & Alex Metric & Riton,Dance With Me (Edit),37,Warner Records,2022-04-08,4317,KUU,33,Alex Metric & Riton,03:06,0.0128,0.779,0.833,0.0299,9,0.0633,-5.978,0,0.043,125.005,4,0.687,Dance With Me - Edit,44,GBAHT2200733,1,https://open.spotify.com/track/7IPdXJf4DEisUUL0WqTcKL,stream,true,https://open.spotify.com/artist/6TGsaPbyXTM7FAeHi68yp7,,https://open.spotify.com/album/4mvAV6SSMEmkZ3CZBaVF0u,190296142215,single,Oskar
2023-05-11T12:06:14Z,Françoise Hardy,Françoise Hardy (Tous les garçons et les filles),64,Vogue,1962-06-30,414102,Françoise Hardy,57,,02:24,0.798,0.586,0.412,0.0,8,0.152,-10.116,0,0.0334,132.199,4,0.706,Le temps de l'amour,67,FRZ196200210,5,https://open.spotify.com/track/6rqUOLt9dpfMANLMKTzoWj,stream,true,https://open.spotify.com/artist/7x3f7c0fBanNlQwpx1255g,"Chanson, Ye Ye",https://open.spotify.com/album/0TcP4beTgxQmREuHJ7BBY2,888880377333,album,Oskar
2023-05-11T10:37:14Z,San Cisco,Gracetown,47,Island City Records,2015-03-06,246525,San Cisco,49,Isabella Manfredi,02:24,0.25,0.73,0.606,0.0572,7,0.22,-5.357,1,0.0695,178.017,4,0.836,Jealousy,20,AUU221400007,7,https://open.spotify.com/track/7bkVl0CUI3x8qeuyiaMr8j,stream,true,https://open.spotify.com/artist/0Ou0138wEd8XWebhc4j7O0,"Australian Indie, Fremantle Indie, Metropopolis, Perth Indie",https://open.spotify.com/album/1rpLjvQfzQAeZuRVpyMkh4,9324690112906,album,Oskar
2023-05-11T09:03:18Z,Jennifer Lopez,This Is Me...Then,70,Epic,2002-01-01,12489571,Jennifer Lopez,75,Jadakiss & Styles P,03:07,0.00733,0.845,0.768,5.04E-6,6,0.0575,-5.448,1,0.188,100.0,4,0.96,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,75,USSM10212454,7,https://open.spotify.com/track/7LqjznQwfrax7MjQXmxqdQ,stream,true,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,"Dance Pop, Pop, Urban Contemporary",https://open.spotify.com/album/1l8TpRDfjJjKdtbzNtSycM,5099751012825,album,Oskar
2023-05-11T08:42:17Z,Whitney,Forever Turned Around,52,Secretly Canadian,2019-08-30,264678,Whitney,50,,02:06,0.534,0.545,0.46,0.911,0,0.134,-9.096,1,0.0585,97.544,4,0.492,Rhododendron,48,US38W1937706,6,https://open.spotify.com/track/4mPFy2ZXSluiG67fcbzamN,stream,true,https://open.spotify.com/artist/32aUoW94mJ7xTJI7fG0V1G,"Chamber Pop, Chicago Indie, Countrygaze, Indie Pop, Indie Rock",https://open.spotify.com/album/7dfINEAt70CVc3kaPvgoyQ,656605037769,album,Oskar
2023-05-10T13:52:11Z,Jamiroquai,Dynamite,63,Sony Music UK,2005-06-15,2305845,Jamiroquai,66,,06:02,0.378,0.714,0.724,3.28E-5,2,0.13,-8.106,0,0.0521,154.425,4,0.962,Talullah,58,GBBBN0500207,7,https://open.spotify.com/track/0WQ3l6AqrCJLDpxjhDHbFh,stream,true,https://open.spotify.com/artist/6J7biCazzYhU3gM9j1wfid,Dance Pop,https://open.spotify.com/album/0NDOtCzyOSoSXwENIWFvMW,888880750037,album,Oskar
2023-05-08T16:37:59Z,Madcat,Petite musique de chanvre,45,FHUO Records,2018-06-29,6540,Madcat,37,,04:29,0.0667,0.847,0.76,0.915,5,0.0667,-8.376,0,0.134,119.98,4,0.771,Sunset,49,QM4TX1862766,3,https://open.spotify.com/track/4Rb43ZlNMC7EOp7cmN2SI6,stream,true,https://open.spotify.com/artist/6etdAWVQlwIiVg13V6wPeq,Jazz House,https://open.spotify.com/album/3Mb3OjEJfpmuigg6ES7zUx,3615939563013,single,Oskar
2023-05-07T14:23:59Z,Jamiroquai,Driving Songs,66,Sony Music CG,2005-01-01,2305845,Jamiroquai,66,,03:49,0.128,0.662,0.949,0.0,6,0.135,-4.758,1,0.108,91.954,4,0.516,Virtual Insanity - Remastered,73,GBARL0601475,2,https://open.spotify.com/track/4UQDZlZhGUDoYMohwrY28v,stream,true,https://open.spotify.com/artist/6J7biCazzYhU3gM9j1wfid,Dance Pop,https://open.spotify.com/album/0PZ6p6h37zPRCskVNqBRbw,196589946348,compilation,Oskar
2023-05-05T07:24:38Z,Cortex,Troupeau bleu,62,Sonodisc,1975-07-15,121755,Cortex,51,,04:26,0.219,0.512,0.661,0.855,2,0.155,-10.514,1,0.0683,82.006,4,0.778,Huit octobre 1971,62,FR59R1692439,9,https://open.spotify.com/track/2CsnpBAB8VQMTyPuws57ao,stream,true,https://open.spotify.com/artist/7EhUXju6pssa8o3CvFJTew,Spytrack,https://open.spotify.com/album/74DOWHisu2jlFvPid9YTGB,3614971131068,album,Oskar
